Kanji,Hiragana,Meaning,Level,Example,CorrectCount,WrongCount,IsDifficult
たった今,たったいま,"Vừa mới, mới tức thì",N4,電車（でんしゃ）はたった今出（で）たところです。,0,0,False
今にも,いまにも,Ngay bây giờ,N4,空（そら）が暗（くら）くなって、今（いま）にも雨（あめ）が降（お）りそうです。,0,0,False
もうすぐ,もうすぐ,Sớm,N4,今（いま）11時半（じはん）。もうすぐランチの時間（じかん）です。,0,0,False
さっき,さっき,Lúc nãy,N4,A「山下（やました）さんは？」,0,0,False
このごろ,このごろ,"Gần đây, dạo này",N4,このごろ、寒（さむ）い日（ひ）が多（おお）いですね。,0,1,True
最近,さいきん,Gần đây,N4,最近（さいきん）、スペイン語（ご）を勉強（べんきょう）しています。,0,0,False
この間,このあいだ,"Gần đây, cách đây không lâu",N4,A「田中（たなか）さんは元気（げんき）ですか。」,0,0,False
今度,こんど,"Lần này, lần tới",N4,①今度（こんど）のテストはとてもむずかしかった。,0,0,False
いつでも,いつでも,"Khi nào cũng, bất kỳ lúc nào",N4,A「食事（しょくじ）するなら、いつがいいですか。」,0,0,False
いつか,いつか,"Một lúc nào đó, một ngày nào đó",N4,いつか家族（かぞく）で世界（せかい）旅行（りょこう）をしたいです。,0,0,False
しょうらい,しょうらい,Tương lai,N4,しょうらい、医者（いしゃ）になりたいと思（おも）っています。,0,0,False
むかし,むかし,Ngày xưa,N4,むかし、ここは海（うみ）でした。,0,0,False
ある日,あるひ,Một ngày nọ,N4,ある日（ひ）、家（いえ）の前（まえ）に黒（くろ）猫（ねこ）がいました。,0,0,False
昼間,ひるま,Ban ngày,N4,このあたりは昼間（ひるま）は人（ひと）が多（おお）いですが。夜（よる）はしずかです。,0,0,False
夕方,ゆうがた,Chiều tối,N4,夕方（ゆうがた）から強（つよ）い雨（あめ）が降（ふ）るそうです。,0,0,False
夜中,よなか,"Đêm, khuya",N4,毎日（まいにち）、夜中（やちゅう）まで勉強（べんきょう）しています。,0,0,False
明日,あす,Ngày mai,N4,明日（あした）の午後（ごご）までにメールを送（おく）ってください。,0,0,False
おととい,おととい,"Hôm kia, ngày kia",N4,かぜをひいて、おとといから熱（ねつ）があります。,0,0,False
ゆうべ,ゆうべ,Tối hôm qua,N4,ゆうべうちでパーティーをしました。,0,0,False
今夜,こんや,Tối nay,N4,今夜（こんや）はとても寒（さむ）いです。,0,0,False
今週,こんしゅう,Tuần này,N4,今週（こんしゅう）は、あまりいそがしくないです。,0,0,False
今月,こんげつ,Tháng này,N4,今月（こんげつ）、大切（たいせつ）なテストが3つもあります。,0,0,False
再来週,さらいしゅう,Tuần tới nữa (2 tuần sau),N4,来週（らいしゅう）はいそがしいので、再来週（さらいしゅう）会（あ）いましょう。,0,0,False
再来月,さちいげつ,Tháng tới nữa (2 tháng sau),N4,再来月（さらいげつ）から1年間（ねんかん）ニューヨークへ行（い）きます。,0,0,False
再来年,さらいねん,Năm tới nữa (2 năm sau),N4,再来年（さらいねん）、この国（くに）でオリンピックがあります。,0,0,False
おととし,おととし,Năm kia,N4,日本（にほん）へ来（き）たのはおととしの4月（がつ）です。,0,0,False
毎週,まいしゅう,"Mỗi tuần, hàng tuần",N4,毎週（まいしゅう）土曜日（どようび）は友（とも）だちとテニスをしています。,1,0,False
毎月,まいつき,"Mỗi tháng, hàng tháng",N4,毎月（まいつき）二（に）十（じゅう）日（にち）にアルノルト代（だい）がもらえます。,0,0,False
毎年,まいとし,"Mỗi năm, hàng năm",N4,毎年（まいとし）、クリスマスに国（くに）へ帰（かえ）ります。,0,0,False
平日,へいじつ,Ngày thường (chỉ thứ Hai ~ thứ Sáu),N4,平日（へいじつ）は仕事（しごと）がとてもいそがしいです。,0,0,False
最初,さいしょ,"Trước tiên, lúc đầu",N4,最初（さいしょ）に「あいうえお」をおぼえました。,0,0,False
最中,さいちゅう,"giữa chừng, trong lúc",N4,テストの最中（さいちゅう）に教室（きょうしつ）を出（で）てはいけません。,0,0,False
最後,さいご,Cuối cùng,N4,このバスは最後（さいご）に東京（とうきょう）駅（えき）に着（つ）きます。,0,0,False
先に,さきに,(Làm gì đó) trước,N4,A「お昼ごはんに行（い）きましょう。」,0,0,False
夫,おっと,"Người chồng, chồng tôi",N4,夫（おっと）は毎日（まいにち）おそくまで仕事（しごと）をしています。,0,0,False
つま,つま,"Người vợ, vợ tôi",N4,つまはカレーが大好（だいす）きです。,0,0,False
両親,リょうしん,Cha mẹ,N4,両親（りょうしん）はイギリスに住（す）んでいます。,0,0,False
むすこ,むすこ,Con trai,N4,むすこは小学校（しょうがっこう）からサッカーをやっています。,0,0,False
むすめ,むすめ,Con gái,N4,むすめは勉強（べんきょう）よりスポーツのほうが好（す）きです。,0,0,False
お子さん,おこさん,Con (kính ngữ),N4,先生（せんせい）のお子さんは今（こん）中学生（ちゅうがくせい）ですか。,0,0,False
祖父,そふ,Ông tôi,N4,祖父（そふ）は小学校（しょうがっこう）の先生（せんせい）でした。,0,0,False
祖母,そぼ,Bà tôi,N4,私（わたし）は祖母（そぼ）が大好（だいす）きです。,0,0,False
まご,まご,Cháu,N4,祖父（そふ）と祖母（そぼ）にはまごが8人（にん）います。,0,0,False
おじ,おじ,"Bác tôi, chú tôi, cậu tôi",N4,このおじは母（はは）の弟（おとうと）です。,0,0,False
おば,おば,"Bác tôi, cô tôi, dì tôi",N4,おばはとても料理（りょうり）が上手（じょうず）です。,0,0,False
親せき,しんせき,"Bà con, họ hàng",N4,姉（あね）の結婚式（けっこんしき）に親（しん）せきがたくさん来（き）ます。,0,0,False
ペット,ペット,"Thú cưng, vật nuôi",N4,このアパートでペットは飼（か）えません。,0,0,False
似る,にる,"giống nhau, tương tự nhau",N4,私（わたし）は母（はは）に、姉（あね）は父（ちち）に似（に）ています。,0,1,True
（心配を）かける,しんぱいかける,"Làm cho (lo lắng), gây (lo lắng)",N4,両親（りょうしん）に心配（しんぱい）をかけてはいけません。,0,0,False
しかる,しかる,"La, mắng, rầy",N4,子（こ）どものとき、母（はは）によくしかられました。,0,0,False
ほめる,ほめる,"Khen, khen ngợi",N4,テストで100点（てん）をとって、父（ちち）にほめられました。,0,0,False
飼う,かう,Nuôi (thú),N4,うさぎを飼（か）ってみたいです。,0,0,False
アパート,アパート,"Phòng trọ, căn hộ chung cư",N4,今（いま）のアパートは前（まえ）のところより広（ひろ）いです。,1,0,False
マンション,マンション,"Chung cư cao tầng, căn hộ chung cư",N4,うちのマンションは駅（えき）から歩（ある）いて3分です。,0,0,False
家賃,やちん,Tiền nhà,N4,来月（らいげつ）から家賃（やちん）が少（すこ）し高（たか）くなります。,0,0,False
管理人,かんりにん,Người quản lý,N4,マンションにはいつも管理人（かんりにん）さんがいます。,0,0,False
住所,じゅうしょ,Địa chỉ,N4,田中（たなか）さんの住所（じゅうしょ）を知（し）っていますか。,0,0,False
建てる,たてる,"Xây, xây dựng",N4,しょうらい、大（おお）きい家（いえ）を建（た）てたいです。,0,0,False
建つ,たつ,"Được xây, được dựng lên",N4,となりに大（おお）きいビルが建（た）ちました。,0,1,True
立てる,たてる,"Dựng, để đứng",N4,ドアのところにかさを立（た）てておきます。,0,0,False
立つ,たつ,Đứng,N4,家（いえ）の前（まえ）に大（おお）きい木（き）が立（た）っています。,0,0,False
ひっこし<する>,ひっこし<する>,"Việc dọn nhà, chuyển chỗ ở",N4,月日（つきひ）はひっこしです。,0,0,False
うつす,うつす,Được chuyển sang,N4,となりの部屋（へや）にテーブルをうつしました。,0,0,False
うつる,うつる,Được chuyển sang,N4,駅前（えきまえ）のビルに郵便（ゆうびん）局（きょく）がうつります。,0,0,False
自宅,じたく,Nhà riêng,N4,これは私（わたし）の自宅（じたく）の電話（でんわ）番号（ばんごう）です。,0,0,False
お宅,おたく,Nhà riêng (kính ngữ),N4,先生（せんせい）のお宅（たく）はどちらですか。,1,0,False
訪問<する>,ほうもん<する>,"Sự thăm viếng, chuyến viếng thăm",N4,,0,0,False
招待<する>,,しょうたい<する>,N4,"Lời mời, sự chiêu đãi",0,0,False
近所,きんじょ,"Hàng xóm, láng giềng, gần nhà",N4,近所（きんじょ）に有名人（ゆうめいじん）が住（す）んでいます。,0,0,False
周り,まわり,Xung quanh,N4,家（いえ）の周（まわ）りにさくらの木（き）があります。,0,1,True
げんかん,げんかん,Lối vào nhà,N4,げんかんにくつがたくさんあります。,0,0,False
入り口（入口）,いりぐち（いりぐち）,Cửa vào,N4,入り口（いりくち）で部屋（へや）の番号（ばんごう）を押（お）してください。,0,0,False
（かぎを）かける,（かぎを）かける,Khóa (cửa),N4,出（で）かけるときはかぎをかけてください。,0,0,False
（かぎが）かかる,（かぎが）かかる,(Cửa) khóa,N4,げんかんのドアはかぎがかかっています。,0,1,True
かべ,かべ,Tường,N4,部屋（へや）のかべを明（あか）るくしたいです。,0,0,False
