Kanji,Hiragana,Meaning,Level,Example,CorrectCount,WrongCount,IsDifficult
一家,いっか,"Một nhà, cả nhà, cả gia đình",N2,兄（あに）が私（わたし）達（たち）一家（いっか）を支（ささ）えてくれている。,0,0,False
ありがたい,ありがたい,"Biết ơn, hạnh phúc, đáng quý",N2,家族（かぞく）は本当（ほんとう）にありがたい存在（そんざい）だ。,0,0,False
向き合う,むきあう,"Đối diện, đối mặt",N2,家族（かぞく）みんなで問題（もんだい）に向き合（むきあ）っている。,0,0,False
つくづく[と],つくづく[と],"Sâu sắc, tỉ mỉ, thấm thía",N2,最近（さいきん）、家族（かぞく）のありがたさをつくづくと感（かん）じる。,0,0,False
養う,やしなう,"Nuôi, nuôi dưỡng",N2,父（ちち）は一生懸命（いっしょうけんめい）に働（はたら）いて、家族（かぞく）を養（やしな）っている。,0,0,False
役目,やくめ,"Trách nhiệm, vai trò, nhiệm vụ",N2,子（こ）どもを育（そだ）てることが親（おや）の役目（やくめ）だ。,0,0,False
甘える,あまえる,"Làm nũng, nhõng nhẽo",N2,妹（いもうと）は子（こ）どもの頃（ころ）から、母（はは）に甘（あま）えている。,0,0,False
世間知らず,せけんしらず,"Khờ khạo, ngây thơ",N2,父（ちち）に「おまえは世間（せけん）知（し）らずだ」と言（い）われた。,0,0,False
しつけ,しつけ,"Sự dạy dỗ, việc giáo dục (khuôn phép, nề nếp)",N2,子（こ）どものしつけは、親（おや）の義務（ぎむ）だ。,0,0,False
言いつける,いいつける,"Méc, mách",N2,兄（あに）は妹（いもうと）のいたずらを母（はは）に言（い）いつけた。,0,0,False
自立＜する＞,じりつ＜する＞,Tự lập,N2,兄（あに）は自立（じりつ）して、一人暮（ひとりぐ）らしをしている。,0,0,False
言い出す,いいだす,"Nói ra, ngỏ ý",N2,妹（いもうと）はアメリカに語学（ごがく）留学（りゅうがく）したいと言（い）い出（だ）した。,0,0,False
意思,いし,"Ý chí, ý muốn",N2,親（おや）に自分（じぶん）の意思（いし）を伝（つた）えるのは難（むずか）しい。,0,0,False
尊重＜する＞,そんちょう＜する＞,Sự tôn trọng,N2,両親（りょうしん）はいつも、私（わたし）の意見（いけん）を尊重（そんちょう）してくれる。,0,0,False
説得＜する＞,せっとく＜する＞,Sự thuyết phục,N2,父（ちち）は私（わたし）の留学（りゅうがく）に反対（はんたい）だったが、母（はは）が説得（せっとく）してくれた。,0,0,False
納得＜する＞,なっとく＜する＞,Sự đồng ý,N2,父（ちち）は私（わたし）の留学（りゅうがく）を、やっと納得（なっとく）してくれた。,0,0,False
逆らう,さからう,"Chống đối, ngược lại",N2,①若（わか）いときは、よく親（おや）に逆（さか）らった。,0,0,False
反省＜する＞,はんせい＜する＞,"Sự phản tỉnh, suy nghĩ lại",N2,昔（むかし）親（おや）に逆（さか）らったことを、今（いま）は反省（はんせい）している。,0,0,False
放っておく,ほうっておく,"Bỏ mặc, phớt lờ",N2,父（ちち）はいちいちうるさい。放（ほう）っておいてほしい。,0,0,False
介護＜する＞,かいご＜する＞,"Sự chăm sóc, điều dưỡng",N2,家族（かぞく）みんなで祖母（そぼ）を介護（かいご）している。,0,0,False
ホームヘルパー,ホームヘルパー,Người trợ giúp (chăm sóc) tại nhà,N2,週（しゅう）に3回（かい）、ホームヘルパーに来（き）てもらう。,0,0,False
世代,せだい,Thế hệ,N2,世代（せだい）が違（ちが）うと、話（はなし）が合（あ）わないこともある。,0,0,False
継ぐ,つぐ,"Tiếp nối, kế thừa",N2,来年（らいねん）、父（ちち）の会社（かいしゃ）を継（つ）ぐことになった。,0,0,False
妊娠＜する＞,にんしん＜する＞,Sự mang thai,N2,妹（いもうと）は妊娠（にんしん）3か月だ。,0,0,False
出産＜する＞,しゅっさん＜する＞,"Sự sinh, đẻ (con)",N2,実家（じっか）の近（ちか）くの病院（びょういん）で出産（しゅっさん）することにした。,0,0,False
産む,うむ,"Sanh, đẻ",N2,姉（あね）は20歳（さい）のときに長男（ちょうなん）を産（う）んだ。,0,0,False
友人,ゆうじん,Bạn thân,N2,国（くに）から友人（ゆうじん）が遊（あそ）びに来（き）た。,0,0,False
仲,なか,"Tình cảm, mối quan hệ",N2,このクラスの生徒（せいと）は、とても仲（なか）がいい。,0,0,False
縁,えん,Duyên,N2,縁（えん）があって、彼女（かのじょ）と親友（しんゆう）になれた。,0,0,False
ニックネーム,ニックネーム,"Biệt danh, tên thân mật",N2,彼（かれ）と私（わたし）はニックネームで呼（よ）び合（あ）っている。,0,0,False
大半,たいはん,"Hơn nửa, phần lớn",N2,一（いち）日（にち）の大半（たいはん）の時間（じかん）を友達（ともだち）と過（す）ごしている。,0,0,False
恵まれる,めぐまれる,"Được ban cho, may mắn",N2,私（わたし）は、いつも友人（ゆうじん）に恵（めぐ）まれている。,0,0,False
頼る,たよる,"Trông cậy, dựa vào",N2,私（わたし）達（たち）は親友（しんゆう）なのだから、困（こま）ったときは頼（たよ）ってほしい。,0,0,False
頼もしい,たのもしい,"Đáng tin, đáng trông cậy",N2,彼女（かのじょ）は何（なん）でも相談（そうだん）できる頼（たの）もしい存在（そんざい）だ。,0,0,False
見習う,みならう,Noi gương,N2,私（わたし）には見習（みなら）うべき友人（ゆうじん）が何（なん）人（にん）かいる。,0,0,False
打ち明ける,うちあける,"Nói thẳng, bày tỏ, mở lòng",N2,親友（しんゆう）だけに秘密（ひみつ）を打ち明（うちあ）けた。,0,0,False
励ます,はげます,"Động viên, khích lệ",N2,私（わたし）が試験（しけん）に落（お）ちたとき、友達（ともだち）が励（はげ）ましてくれた。,0,0,False
あえて,あえて,"Dám, mạnh dạn",N2,大切（たいせつ）な友達（ともだち）だから、あえて厳（きび）しい忠告（ちゅうこく）もする。,0,0,False
なぐさめる,なぐさめる,"An ủi, động viên",N2,彼女（かのじょ）にふられたとき、友達（ともだち）がなぐさめてくれた。,0,0,False
察する,さっする,"Thông cảm, đồng cảm",N2,彼女（かのじょ）の気持（きも）ちを察（さっ）して、何（なに）も言（い）わなかった。,0,0,False
思いやり,おもいやり,Sự quan tâm,N2,周（まわ）りの人（ひと）への思（おも）いやりを大切（たいせつ）にしたい。,0,0,False
何気ない,なにげない,"Thoải mái, vô tư",N2,友達（ともだち）との何気（なにげ）ない会話（かいわ）が楽（たの）しい。,0,0,False
からかう,からかう,Trêu chọc,N2,彼女（かのじょ）ができて、友達（ともだち）にからかわれた。,0,0,False
幹事,かんじ,"Cán sự, quản lý",N2,仲間（なかま）の飲（の）み会（かい）では、いつも私（わたし）が幹事（かんじ）だ。,0,0,False
呼び出す,よびだす,"Gọi, kêu ra",N2,夜（よる）遅（おそ）く、親友（しんゆう）に「飲（の）みに行（い）こう」と呼び出（よびだ）されだ。,0,0,False
盛り上がる,もりあがる,"Hào hứng, dâng lên, sôi động",N2,①パーティーは盛り上（もりあ）がって、夜中（やちゅう）まで続（つづ）いた。,0,0,False
あきれる,あきれる,"Ngạc nhiên, sốc",N2,彼（かれ）はいつも遅刻（ちこく）するので、あきれてしまう。,0,0,False
ふざける,ふざける,"Hiếu động, đùa giỡn",N2,友達（ともだち）とふざけていたら、転（ころ）んで足（あし）の骨（ほね）を折（お）った。,0,0,False
久しい,ひさしい,"Lâu ngày, đã bao lâu",N2,高校（こうこう）時代（じだい）のクラスメートと久（ひさ）しく会（あ）っていない。,0,0,False
初対面,しょたいめん,"Lần đầu, gặp mặt",N2,山田（やまだ）さんとは初対面（しょたいめん）だったので、あいさつした。,0,0,False
自己紹介,じこしょうかい,Sự tự giới thiệu,N2,合（ごう）コンでお互いに自己（じこ）紹介（しょうかい）をした。,0,0,False
おじぎ＜する＞,おじぎ＜する＞,Sự cúi chào,N2,朝（あさ）、大家（おおや）さんに会（あ）ったので、おじぎした。,0,0,False
近所付き合い,きんじょづきあい,Mối quan hệ láng giềng,N2,できるだけ近所（きんじょ）付き合（づきあ）いを大切（たいせつ）にしている。,0,0,False
大家,おおや,Chủ nhà,N2,私（わたし）のアパートの大家（おおや）さんは、とても親切（しんせつ）な人（ひと）だ。,0,0,False
飼い主,かいぬし,Người chủ (nuôi thú cưng),N2,犬（いぬ）の飼い主（かいぬし）同士（どうし）が公園（こうえん）でおしゃべりをしている。,0,0,False
交わす,かわす,"Trao đổi, qua lại",N2,近所（きんじょ）の人達（ひとたち）に会（あ）うと、笑顔（えがお）であいさつを交（か）わす。,0,1,True
呼び止める,よびとめる,Gọi chặn lại,N2,アパートの前（まえ）で管理人（かんりにん）さんに呼び止（よびと）められた。,0,0,False
振り返る,ふりかえる,"Ngoảnh lại, nhìn lại, quay lại",N2,①後（うし）ろから名前（なまえ）を呼（よ）ばれて、振り返（ふりかえ）った。,0,0,False
再会＜する＞,さいかい＜する＞,Sự gặp lại,N2,以前（いぜん）お世話になった人（ひと）に再会（さいかい）した。,0,0,False
覚え,おぼえ,"Nhớ, trí nhớ",N2,田中（たなか）さんとは会（あ）った覚（おぼ）えがない。,1,0,False
心当たり,こころあたり,"Biết, ý kiến (về vấn đề gì đó)",N2,心当（こころあ）たりのない番号（ばんごう）から電話（でんわ）がかかってきた。,1,0,False
結びつく,むすびつく,"Liên tưởng, nhớ",N2,川田（かわた）さんの名前（なまえ）と顔（かお）が結（むす）びつかない。,0,0,False
とっさ[に],とっさ[に],Ngay lập tức,N2,隣（となり）の人（ひと）に会（あ）ったとき、とっさに名前（なまえ）が出（で）てこなかった。,0,0,False
てっきり,てっきり,Chắc chắn,N2,てっきり彼（かれ）らを兄弟（きょうだい）だと思（おも）っていた。,0,0,False
思い込む,おもいこむ,"Tin rằng, cho rằng",N2,私（わたし）は木村（きむら）さんが独身（どくしん）だと思い込（おもいこ）んでいた。,0,0,False
コミュニケーション,コミュニケーション,Giao tiếp,N2,いろいろな国（くに）の人（ひと）とコミュニケーションを持（も）ちたい。,0,0,False
ネットワーク,ネットワーク,"Kết nối, mạng lưới",N2,将来（しょうらい）のために、知り合（しりあ）いのネットワークを広（ひろ）げたい。,0,0,False
直接,ちょくせつ,Trực tiếp,N2,彼（かれ）とは直接（ちょくせつ）の友達（ともだち）ではない。（名）,0,0,False
接する,せっする,"Tiếp xúc, tiếp giáp",N2,①敬語（けいご）が下手（へた）なので、目上（めうえ）の人（ひと）と接（せっ）するのが苦手（にがて）だ。,0,0,False
